case,cavities,material_type,molde_area,costs,complexity,subcontracting,num_peca,start_timestamp,time:timestamp,activity,org:resource
3047,2,PC-29,Automovel,152000,3,0,900,2018-02-14 14:09:06,2018-02-14 16:10:52,Retificacao,User 129
3047,2,PC-29,Automovel,152000,3,0,900,2018-02-15 17:04:14,2018-02-15 17:10:04,Preliminares,User 70
3047,2,PC-29,Automovel,152000,3,0,900,2018-02-16 08:11:02,2018-02-16 10:23:03,Fresagem,User 71
3047,2,PC-29,Automovel,152000,3,0,900,2018-02-20 10:48:44,2018-02-22 09:59:28,Furacao,User 138
3047,2,PC-29,Automovel,152000,3,0,900,2018-02-21 15:21:01,2018-02-23 16:42:23,Fresagem,User 72
3047,2,PC-29,Automovel,152000,3,0,900,2018-02-22 10:42:12,2018-02-22 14:28:18,Torno,User 51
3047,2,PC-29,Automovel,152000,3,0,900,2018-02-22 11:01:17,2018-02-25 01:47:05,Fresagem,User 119
3047,2,PC-29,Automovel,152000,3,0,900,2018-02-23 18:18:08,2018-02-23 19:08:26,Preliminares,User 70
3047,2,PC-29,Automovel,152000,3,0,900,2018-02-26 08:18:22,2018-02-26 12:44:25,Furacao,User 119
3047,2,PC-29,Automovel,152000,3,0,900,2018-02-26 09:10:47,2018-02-26 19:14:53,Torno,User 51
3047,2,PC-29,Automovel,152000,3,0,900,2018-02-26 13:36:57,2018-02-26 17:14:23,Furacao,User 119
3047,2,PC-29,Automovel,152000,3,0,900,2018-02-26 14:38:08,2018-02-26 14:38:10,Trabalho Interno,User 70
3047,2,PC-29,Automovel,152000,3,0,900,2018-02-27 08:23:45,2018-02-27 19:13:27,Torno,User 51
3047,2,PC-29,Automovel,152000,3,0,900,2018-02-27 08:31:01,2018-03-02 06:46:12,Fresagem,User 119
3047,2,PC-29,Automovel,152000,3,0,900,2018-02-27 15:00:56,2018-02-27 16:17:07,Furacao,User 138
3047,2,PC-29,Automovel,152000,3,0,900,2018-02-28 08:08:24,2018-02-28 08:32:13,Torno,User 51
3047,2,PC-29,Automovel,152000,3,0,900,2018-02-28 08:35:02,2018-02-28 12:44:27,Furacao,User 138
3047,2,PC-29,Automovel,152000,3,0,900,2018-02-28 10:51:18,2018-02-28 12:44:25,Fresagem,User 119
3047,2,PC-29,Automovel,152000,3,0,900,2018-02-28 13:46:31,2018-02-28 16:42:50,Furacao,User 138
3047,2,PC-29,Automovel,152000,3,0,900,2018-02-28 17:41:11,2018-03-03 23:06:22,Fresagem,User 119
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-01 08:58:12,2018-03-04 21:41:12,Retificacao,User 129
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-01 11:10:46,2018-03-01 12:44:25,Furacao,User 138
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-01 11:22:17,2018-03-05 02:54:31,Fresagem,User 74
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-01 13:38:27,2018-03-01 19:14:38,Furacao,User 138
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-01 13:47:13,2018-03-05 09:49:58,Retificacao,User 129
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-01 16:25:35,2018-03-01 19:07:50,Fresagem,User 74
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-01 17:33:46,2018-03-01 19:17:56,Retificacao,User 128
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-02 08:06:08,2018-03-02 12:34:53,Fresagem,User 74
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-02 08:11:31,2018-03-06 08:49:20,Retificacao,User 128
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-02 08:15:12,2018-03-02 12:44:29,Fresagem,User 119
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-02 08:15:17,2018-03-02 08:35:55,Furacao,User 138
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-02 08:50:59,2018-03-02 10:58:05,Torno,User 51
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-02 13:45:40,2018-03-06 19:53:14,Fresagem,User 74
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-02 16:00:10,2018-03-02 17:12:01,Retificacao,User 129
