case,cavities,material_type,molde_area,costs,complexity,subcontracting,num_peca,start_timestamp,time:timestamp,activity,org:resource
2696,1,PA6.6-GF40,Automovel,41000,3,0,80,2014-12-11 03:33:50,2014-12-11 04:35:45,Desenho Eletrodos,User 43
2696,1,PA6.6-GF40,Automovel,41000,3,0,80,2014-12-11 11:28:36,2014-12-11 15:40:05,Fresagem,User 83
2696,1,PA6.6-GF40,Automovel,41000,3,0,80,2014-12-11 19:21:16,2014-12-11 19:50:19,Maquinacao,No User
2696,1,PA6.6-GF40,Automovel,41000,3,0,80,2014-12-12 08:11:02,2014-12-12 16:57:55,Fresagem,User 72
2696,1,PA6.6-GF40,Automovel,41000,3,0,80,2014-12-12 14:32:31,2014-12-12 15:03:55,Furacao,User 65
2696,1,PA6.6-GF40,Automovel,41000,3,0,80,2014-12-14 12:18:08,2014-12-15 01:17:43,Maquinacao de Eletrodos,No User
2696,1,PA6.6-GF40,Automovel,41000,3,0,80,2014-12-19 06:31:52,2014-12-19 13:00:42,CAM,User 50
2696,1,PA6.6-GF40,Automovel,41000,3,0,80,2014-12-20 08:40:16,2014-12-23 09:32:24,Maquinacao,No User
2696,1,PA6.6-GF40,Automovel,41000,3,0,80,2015-01-08 14:41:00,2015-01-12 03:26:33,Erosao,User 40
2696,1,PA6.6-GF40,Automovel,41000,3,0,80,2015-01-12 15:19:41,2015-01-12 18:03:07,Polimento,User 85
2696,1,PA6.6-GF40,Automovel,41000,3,0,80,2015-05-26 14:27:04,2015-05-26 17:05:04,Desenho Eletrodos,User 50
2696,1,PA6.6-GF40,Automovel,41000,3,0,80,2015-05-27 17:38:07,2015-05-31 07:25:37,Maquinacao de Eletrodos,No User
2696,1,PA6.6-GF40,Automovel,41000,3,0,80,2015-06-08 14:41:40,2015-06-08 15:44:43,Polimento,User 106
2696,1,PA6.6-GF40,Automovel,41000,3,0,82,2014-12-11 07:14:52,2014-12-11 08:37:38,Desenho Eletrodos,User 52
2696,1,PA6.6-GF40,Automovel,41000,3,0,82,2014-12-11 14:16:30,2014-12-12 01:25:32,Fresagem,User 72
2696,1,PA6.6-GF40,Automovel,41000,3,0,82,2014-12-14 16:30:56,2014-12-14 17:54:55,Maquinacao de Eletrodos,No User
2696,1,PA6.6-GF40,Automovel,41000,3,0,82,2014-12-15 08:04:58,2014-12-15 08:23:08,Furacao,User 65
2696,1,PA6.6-GF40,Automovel,41000,3,0,82,2014-12-17 13:30:28,2014-12-18 06:39:07,Retificacao,User 37
2696,1,PA6.6-GF40,Automovel,41000,3,0,82,2014-12-19 13:32:52,2014-12-20 09:34:44,CAM,User 43
2696,1,PA6.6-GF40,Automovel,41000,3,0,82,2014-12-19 23:14:10,2014-12-21 01:38:26,Maquinacao,No User
